"inhibs_rojo";"num_torres_rojo";"num_torres_azul";"DamageObjectives_rojo";"inhibs_azul";"DamageObjectives_azul";"kda_adc_rojo";"kda_jng_rojo";"kda_mid_azul";"kda_jng_azul";"kda_mid_rojo";"num_nashors_rojo";"kda_sup_azul";"kda_sup_rojo";"kda_adc_azul";"num_asesinatos_rojo";"kda_top_rojo";"kda_top_azul";"num_asesinatos_azul";"num_nashors_azul";"num_dragones_rojo";"num_dragones_azul";"double_k_rojo";"diff_oro_al_15";"diferencia_exp";"oro_al_15_rojo";"double_k_azul";"cura_rojo";"oro_al_15_azul";"cura_azul";"gana_azul"
0;1;11;664,516129032258;3;3067,74193548387;1,57142857142857;5;16;16;2;0;3,25;2,5;5;12;1,75;3,66666666666667;21;2;1;3;1;1200;-39;24200;4;699,741935483871;25400;1413,03225806452;"si"
0;2;9;456,666666666667;2;3260;2,66666666666667;1,6;4;4,66666666666667;2,66666666666667;0;13;1,5;6,5;10;2,5;5;17;2;0;4;0;3100;1544;22400;4;535,933333333333;25500;1112,73333333333;"si"
0;4;7;1488,88888888889;1;2197,22222222222;1,33333333333333;1,2;4,33333333333333;4;3,33333333333333;0;4,5;2,5;16;14;3,5;6,66666666666667;22;0;3;3;0;2100;2475;23100;1;1137,77777777778;25200;1129,52777777778;"si"
0;1;10;1158,06451612903;2;2254,83870967742;3;3,5;4,5;3;6;0;13;0,666666666666667;6;9;1,5;5;14;1;2;3;0;2600;-1252;22700;1;611,645161290323;25300;989,032258064516;"si"
0;2;8;878,125;2;2259,375;1,25;1,66666666666667;11;17;1,5;0;4,5;0,6;7;8;1,2;7,5;21;1;1;3;2;1800;2733;23000;4;583,34375;24800;922,125;"si"
0;3;8;1277,41935483871;1;2093,54838709677;1,33333333333333;7;5,5;10;1;0;6,5;2;9;7;2,5;5;13;1;3;1;1;255;-122;23700;2;745,806451612903;24000;867,451612903226;"si"
0;1;9;972,413793103448;2;2410,34482758621;6;2,66666666666667;8;12;0,75;0;3,66666666666667;0,333333333333333;15;8;1,2;2;19;1;1;3;1;3800;3488;24300;3;912,241379310345;28100;882,793103448276;"si"
0;3;11;1039,39393939394;2;2415,15151515152;1;2,66666666666667;3;2,25;1,6;0;12;2;12;10;0,8;15;19;1;2;3;0;-147;-2464;24500;1;976,242424242424;24400;810,969696969697;"si"
0;0;7;535;1;2280;0,4;0,75;12;17;0,2;0;12;0,666666666666667;13;3;1;4;19;0;0;3;0;3100;4090;22900;3;584,75;25900;636,1;"si"
0;6;8;1678,37837837838;1;1759,45945945946;7;0,75;11;5;2;1;9;0,666666666666667;9;7;1,25;5;14;0;1;4;1;-1900;-1087;25000;0;1202,24324324324;23100;784,405405405405;"si"
0;1;8;1020,68965517241;1;2827,58620689655;0,5;1;19;5,75;2,66666666666667;0;12;0,5;8,33333333333333;9;2;19;27;1;3;1;2;2300;-91;23000;4;742,068965517241;24800;973,965517241379;"si"
0;6;11;1244,44444444444;3;2788,88888888889;1,33333333333333;1;6;6;3;0;11;4;4,5;6;0,666666666666667;8;13;2;2;3;0;-3100;-2813;26200;0;632,527777777778;23100;1181,55555555556;"si"
0;1;11;539,393939393939;2;3633,33333333333;1,75;1,2;4,25;15;2;0;16;1,5;11;8;1;5,5;20;2;1;4;1;4400;2258;21600;3;494,606060606061;26000;710,878787878788;"si"
0;1;11;823,529411764706;2;2705,88235294118;1,25;1,16666666666667;3,75;8,5;1,28571428571429;0;12;2,66666666666667;8,5;12;1,75;4;24;1;0;5;0;-1100;703;23700;0;860,411764705882;22600;1145,70588235294;"si"
0;1;8;800;1;2366,66666666667;1,25;1;22;20;0,714285714285714;0;20;0,6;9;8;2;6,33333333333333;25;1;0;3;2;2800;2571;24000;4;908,814814814815;26800;1486,62962962963;"si"
0;0;9;774,074074074074;1;2607,40740740741;0,8;0,333333333333333;17;8,5;0,75;0;20;0,285714285714286;6,5;4;1;12;25;1;1;2;0;5400;2833;22000;2;779,666666666667;27400;956;"si"
0;0;11;732,142857142857;2;2300;0;0,333333333333333;14;8;0,166666666666667;0;10;0;7;1;0;10;16;1;0;3;0;3200;3229;21800;1;518,857142857143;25000;663,142857142857;"si"
0;2;10;706,896551724138;2;2813,79310344828;1;0,8;4,33333333333333;16;0,6;0;11;3;14;5;0,25;15;18;1;1;2;0;1100;237;23800;3;759,413793103448;24900;1333,03448275862;"si"
0;3;11;1512,12121212121;3;2106,06060606061;11;4;5,5;2;4;0;11;1,2;2,5;13;3;3,33333333333333;13;2;2;2;2;1800;858;23500;1;1148,75757575758;25300;1316,48484848485;"si"
0;3;9;763,636363636364;1;2384,84848484848;1,33333333333333;2;4,66666666666667;10;1,25;0;6;2;9,5;10;0,8;14;22;1;2;2;1;19;-1272;24600;3;587,272727272727;24600;733,666666666667;"si"
0;3;11;1050;4;2760;3,5;3;5,5;7;5;0;1;8;1,75;17;2,75;1,75;17;2;4;2;1;3000;769;23700;1;1665,375;26200;1356,375;"si"
0;2;9;981,25;1;2631,25;1;1;17;21;0,4;0;22;0,571428571428571;8;8;0,8;4,33333333333333;27;0;1;3;0;1600;571;23900;4;710,90625;25500;1487,90625;"si"
0;2;9;1188,23529411765;1;2385,29411764706;3,66666666666667;2,75;4,33333333333333;2;2,33333333333333;0;2;1,33333333333333;13;14;6;10;18;2;2;2;1;1800;2247;22000;1;765,794117647059;23800;702,441176470588;"si"
0;4;9;1546,51162790698;2;3172,09302325581;1,66666666666667;2,25;19;4,66666666666667;1,66666666666667;1;2,25;0,666666666666667;8;12;1,2;6,5;21;2;1;5;2;-178;-380;24100;2;706,581395348837;23900;604,93023255814;"si"
0;3;9;896,153846153846;2;3692,30769230769;1;0,6;2;15;1;0;2,66666666666667;0,75;14;7;0,333333333333333;14;24;1;0;4;0;1500;543;24700;3;538,038461538462;26200;992,961538461538;"si"
0;1;11;1147,61904761905;3;2621,42857142857;2,5;2,6;16;5,66666666666667;2,5;0;1,75;3,5;3,75;18;5,5;4,5;21;2;3;3;0;635;-24;24700;1;1001,80952380952;25300;1276,07142857143;"si"
0;1;7;847,368421052632;1;2352,63157894737;1;0,333333333333333;12;9;0,333333333333333;0;8;0,5;5;2;0,2;8;15;0;0;3;0;4900;3696;22600;2;728,947368421053;27500;881,631578947368;"si"
0;3;7;1275;1;1859,375;4,5;1,5;6,33333333333333;8,5;2,75;1;19;1,16666666666667;6;14;2,4;2,6;23;0;0;4;1;124;1072;24400;2;1020,25;24500;1201,59375;"si"
0;2;10;968,965517241379;2;2868,96551724138;6;1;10;12;1,33333333333333;0;6;1;9;6;0,75;7;16;2;3;1;0;4100;2475;23900;1;771,448275862069;28000;557,379310344828;"si"
0;1;7;957,692307692308;1;1692,30769230769;1,25;1;18;10,5;1,75;0;3,5;1,16666666666667;21;8;0,666666666666667;9,5;26;0;0;3;2;532;1249;24900;2;595,038461538462;25400;828,730769230769;"si"
0;2;11;757,894736842105;3;3263,15789473684;0,5;0,5;2;6;1;0;4;1;7;3;1;3,5;9;2;1;5;0;554;626;23700;1;503,078947368421;24300;881,763157894737;"si"
0;3;10;1911,11111111111;2;2241,66666666667;0,333333333333333;0,833333333333333;5;6,33333333333333;0,8;2;19;0,75;14;7;0,333333333333333;12;24;0;2;3;0;3100;3897;23300;2;542,833333333333;26400;536,111111111111;"si"
0;2;10;713,04347826087;1;3556,52173913043;1;1,5;5;8;1;0;8;0,5;8;4;0,666666666666667;5;14;1;0;3;0;6600;1635;23600;1;540,260869565217;30200;1281,91304347826;"si"
0;3;9;2000;2;2248,64864864865;2;8;4;7;6;1;0,6;3;5;9;3;2,5;9;1;3;3;0;2300;1657;23900;1;1093,97297297297;26200;908,432432432432;"si"
0;2;9;635,714285714286;1;2564,28571428571;2,33333333333333;1;4;6;2;0;6,5;0,571428571428571;4,33333333333333;9;0,5;12;22;0;1;3;2;2100;363;25100;3;629,857142857143;27200;771,107142857143;"si"
0;2;8;1416;1;2664;0;1;16;12;0,4;0;7,5;0,25;15;3;0,5;13;17;1;0;4;0;948;696;23300;2;722,16;24200;1178,64;"si"
0;3;9;2335,13513513513;1;1718,91891891892;2;5;8,5;3,4;1,66666666666667;1;6;3;7;18;1,28571428571429;3;25;1;4;1;1;2400;3866;26300;5;638,72972972973;28700;731,351351351351;"si"
0;3;9;1406,66666666667;1;2650;1;1,5;9;5;3;0;10;0,5;10;4;0,4;4;13;1;1;4;0;1600;1557;24300;0;742,533333333333;25900;579,1;"si"
0;2;9;695,652173913043;1;3417,39130434783;3,5;0,833333333333333;14;17;1,25;0;5,5;1,16666666666667;16;8;0,25;2,6;22;1;0;4;0;5200;3744;24900;1;357,260869565217;30100;1277,5652173913;"si"
0;3;11;1536,36363636364;3;2840,90909090909;18;3,6;4;6;1,66666666666667;0;1,71428571428571;1,57142857142857;4,66666666666667;21;3,33333333333333;2,16666666666667;22;4;4;3;2;1000;1209;24400;1;942,704545454545;25400;953,25;"si"
0;2;9;1095,65217391304;1;2008,69565217391;0,2;1;10;13;1,5;0;17;0,75;9;4;0,666666666666667;10;17;0;1;1;0;841;2818;25200;1;888,521739130435;26000;663,869565217391;"si"
0;1;10;810,714285714286;3;2992,85714285714;1;0,8;12;13;0,6;0;14;1;15;6;0,75;2,66666666666667;22;0;1;2;1;7200;5204;22300;0;593,5;29500;1123,42857142857;"si"
0;0;9;1076,66666666667;2;2646,66666666667;1,66666666666667;7;12;13;1,5;0;2,5;0,833333333333333;7;9;1,66666666666667;3,66666666666667;17;1;3;2;0;3100;-492;23000;2;602,833333333333;26100;793,266666666667;"si"
0;3;7;951,851851851852;1;2211,11111111111;1,25;1,5;10;6,5;5;0;4,33333333333333;1,2;13;9;2;4;17;0;1;3;1;2200;1480;25200;1;831,222222222222;27400;662,62962962963;"si"
0;1;11;434,375;3;3556,25;1,66666666666667;1,85714285714286;3,5;15;1,8;0;2,4;1,2;11,5;15;1,6;5;27;2;1;3;2;3700;2474;22100;5;533,34375;25800;1469,40625;"si"
0;2;11;1030;1;2380;1,33333333333333;1,66666666666667;8;6;1,5;0;6;1,33333333333333;12;6;1,5;3;13;1;3;1;0;1700;1510;22700;1;458,266666666667;24400;1036,53333333333;"si"
0;2;9;1527,27272727273;2;3209,09090909091;2;1,75;5;4;1,33333333333333;0;11;2;10;9;3;1,75;14;2;3;2;0;19;1700;25200;1;583,878787878788;25200;1395,45454545455;"si"
0;4;7;2000;1;1934,375;2;4;3,33333333333333;9;3;0;12;0,8;15;9;2;3,33333333333333;15;1;2;3;1;-3000;-480;27200;0;544;24200;1564,1875;"si"
0;2;9;1847,22222222222;1;1733,33333333333;4,5;2,5;4;5,5;2;0;5,5;5;4;18;5;0,888888888888889;16;2;3;2;1;-82;-1222;24500;2;1376,91666666667;24400;868,805555555556;"si"
0;3;9;613,333333333333;1;3210;1,2;1,75;12;8;1,66666666666667;0;6;0,8;14;8;1,5;2,75;21;1;0;4;1;1900;-479;24500;2;700,833333333333;26400;931,966666666667;"si"
0;0;10;575;2;3150;1;1,75;7;7;4;0;3;3;9;7;0,8;3,66666666666667;15;1;1;3;0;2000;1741;23800;2;576,571428571429;25800;712,107142857143;"si"
0;2;7;1844,11764705882;1;1885,29411764706;3;1;8;7;1,5;0;4,5;1;10;4;0,75;8;12;0;2;4;0;-2700;-623;26100;1;503,852941176471;23400;1124,29411764706;"si"
0;2;9;570,37037037037;1;2651,85185185185;1,33333333333333;5;6;7;3;0;9;2;7;6;2;1,33333333333333;9;1;0;3;0;1900;-806;23400;1;1432,11111111111;25300;800,555555555556;"si"
1;7;7;1516,66666666667;1;1902,38095238095;5;6,66666666666667;5,33333333333333;1,66666666666667;3,2;0;5,66666666666667;2;3,4;21;13;3;19;1;4;2;1;3000;-1211;23700;2;1778,45238095238;26000;1151,66666666667;"si"
0;3;10;1250;2;2483,33333333333;1;2;4;7;0;0;2,5;2;4;4;1;6;9;2;1;4;0;1700;-688;22900;0;614,378378378378;24700;620,459459459459;"si"
1;6;7;1837,77777777778;1;2697,77777777778;7;2,4;3,75;6,5;3;0;2,2;1,71428571428571;6;17;4;4,33333333333333;21;2;3;4;2;3000;630;23700;2;1342,86666666667;26700;760,422222222222;"si"
0;0;10;416,666666666667;1;3375;2;1,2;17;6,66666666666667;0,8;0;4,66666666666667;0,857142857142857;18;7;0,8;14;25;1;0;4;1;3500;939;22800;4;301;26300;1028,91666666667;"si"
0;1;11;885,714285714286;3;3075;0;0;12;9;0;0;13;0;11;0;0;12;16;1;1;3;0;4600;3253;21700;3;576,214285714286;26300;499,142857142857;"si"
0;2;9;444;1;2168;0,777777777777778;0,777777777777778;2;20;0,666666666666667;0;11;1,28571428571429;20;9;0,666666666666667;16;37;0;0;3;0;3900;5094;21900;4;341,24;25800;1638,8;"si"
0;2;9;1077,41935483871;2;2551,61290322581;0,75;1,5;10;4,5;2;0;5,5;1,25;9;7;1;3,5;16;1;0;4;0;1200;2883;25600;0;519,129032258065;26800;1433,06451612903;"si"
0;2;9;600;1;3130;1,2;1,75;10;4,66666666666667;1,25;0;13;1;9;8;1,33333333333333;4,33333333333333;20;1;0;4;1;-915;-1018;24600;2;875,166666666667;23700;993,266666666667;"si"
0;2;10;994,444444444444;2;2430,55555555556;3,25;1,28571428571429;5;5,33333333333333;2,5;0;7;1,8;2,2;18;2,4;4;25;1;2;3;1;3200;1623;24400;3;512,277777777778;27600;1328,86111111111;"si"
1;5;9;1564,58333333333;1;2702,08333333333;2;2,5;2,66666666666667;7;5;0;1,33333333333333;3;6;10;0,666666666666667;2;11;2;2;5;0;2500;1523;22200;1;772,229166666667;24700;505,145833333333;"si"
0;2;8;616,666666666667;1;2720;1;1,5;3;7;2,5;0;4;1;6;6;1,5;9;11;1;0;4;0;830;527;24400;0;1241,63333333333;25200;1293,86666666667;"si"
