"inhibs_rojo";"num_torres_rojo";"num_torres_azul";"DamageObjectives_rojo";"inhibs_azul";"DamageObjectives_azul";"kda_adc_rojo";"kda_jng_rojo";"kda_mid_azul";"kda_jng_azul";"kda_mid_rojo";"num_nashors_rojo";"kda_sup_azul";"kda_sup_rojo";"kda_adc_azul";"num_asesinatos_rojo";"kda_top_rojo";"kda_top_azul";"num_asesinatos_azul";"num_nashors_azul";"num_dragones_rojo";"num_dragones_azul";"double_k_rojo";"diff_oro_al_15";"diferencia_exp";"oro_al_15_rojo";"double_k_azul";"cura_rojo";"oro_al_15_azul";"cura_azul";"gana_azul"
0;1;11;664,516129032258;3;3067,74193548387;1,57142857142857;5;16;16;2;0;3,25;2,5;5;12;1,75;3,66666666666667;21;2;1;3;1;1200;-39;24200;4;699,741935483871;25400;1413,03225806452;"si"
3;11;0;3012,5;0;1134,375;7,5;10;1;1,6;7;1;1,25;7;2;24;2,66666666666667;1,6;11;0;3;2;1;-2600;-1816;25800;1;1195,9375;23200;978,5625;"no"
0;2;9;456,666666666667;2;3260;2,66666666666667;1,6;4;4,66666666666667;2,66666666666667;0;13;1,5;6,5;10;2,5;5;17;2;0;4;0;3100;1544;22400;4;535,933333333333;25500;1112,73333333333;"si"
2;11;1;3246,42857142857;0;714,285714285714;7;5;2;3;6;1;1,5;5;1,5;9;8;0,666666666666667;3;0;4;1;1;-2500;1527;26200;0;780,25;23700;811,178571428571;"no"
1;7;7;1597,2972972973;2;2837,83783783784;5;3,66666666666667;8;8,5;3;0;3,2;4;3,75;17;2,8;3,5;18;2;2;3;0;-1900;-2507;24800;1;1500,10810810811;22900;1098,24324324324;"no"
2;10;3;2283,33333333333;0;1700;8;10;1;1;11;1;1;9;0;14;3;2;4;0;2;1;1;-346;-815;24100;0;775,208333333333;23800;610;"no"
0;4;7;1488,88888888889;1;2197,22222222222;1,33333333333333;1,2;4,33333333333333;4;3,33333333333333;0;4,5;2,5;16;14;3,5;6,66666666666667;22;0;3;3;0;2100;2475;23100;1;1137,77777777778;25200;1129,52777777778;"si"
0;1;10;1158,06451612903;2;2254,83870967742;3;3,5;4,5;3;6;0;13;0,666666666666667;6;9;1,5;5;14;1;2;3;0;2600;-1252;22700;1;611,645161290323;25300;989,032258064516;"si"
0;2;8;878,125;2;2259,375;1,25;1,66666666666667;11;17;1,5;0;4,5;0,6;7;8;1,2;7,5;21;1;1;3;2;1800;2733;23000;4;583,34375;24800;922,125;"si"
0;3;8;1277,41935483871;1;2093,54838709677;1,33333333333333;7;5,5;10;1;0;6,5;2;9;7;2,5;5;13;1;3;1;1;255;-122;23700;2;745,806451612903;24000;867,451612903226;"si"
0;1;9;972,413793103448;2;2410,34482758621;6;2,66666666666667;8;12;0,75;0;3,66666666666667;0,333333333333333;15;8;1,2;2;19;1;1;3;1;3800;3488;24300;3;912,241379310345;28100;882,793103448276;"si"
1;9;1;2996,42857142857;0;821,428571428571;13;9;0,75;1,5;13;1;2;13;0,5;14;5;1;4;0;3;1;2;-1500;763;24400;0;959,75;22900;437,785714285714;"no"
1;7;2;3213,33333333333;0;1010;9;9;0,333333333333333;1;11;1;0,333333333333333;5;2;12;6;0,666666666666667;3;0;5;0;1;296;-1259;23900;0;834,266666666667;24200;686,3;"no"
0;3;11;1039,39393939394;2;2415,15151515152;1;2,66666666666667;3;2,25;1,6;0;12;2;12;10;0,8;15;19;1;2;3;0;-147;-2464;24500;1;976,242424242424;24400;810,969696969697;"si"
0;0;7;535;1;2280;0,4;0,75;12;17;0,2;0;12;0,666666666666667;13;3;1;4;19;0;0;3;0;3100;4090;22900;3;584,75;25900;636,1;"si"
0;6;8;1678,37837837838;1;1759,45945945946;7;0,75;11;5;2;1;9;0,666666666666667;9;7;1,25;5;14;0;1;4;1;-1900;-1087;25000;0;1202,24324324324;23100;784,405405405405;"si"
0;1;8;1020,68965517241;1;2827,58620689655;0,5;1;19;5,75;2,66666666666667;0;12;0,5;8,33333333333333;9;2;19;27;1;3;1;2;2300;-91;23000;4;742,068965517241;24800;973,965517241379;"si"
0;6;11;1244,44444444444;3;2788,88888888889;1,33333333333333;1;6;6;3;0;11;4;4,5;6;0,666666666666667;8;13;2;2;3;0;-3100;-2813;26200;0;632,527777777778;23100;1181,55555555556;"si"
2;10;2;2634,21052631579;0;1184,21052631579;4,5;16;1,4;1,14285714285714;22;1;2;2,33333333333333;2,6;25;21;3;13;0;4;1;2;-1900;66;26000;0;1283,78947368421;24000;612,526315789474;"no"
