"kda";"posicion"
3,66666666666667;"top"
5;"top"
6,66666666666667;"top"
5;"top"
7,5;"top"
5;"top"
2;"top"
15;"top"
4;"top"
5;"top"
19;"top"
8;"top"
5,5;"top"
4;"top"
6,33333333333333;"top"
12;"top"
10;"top"
15;"top"
3,33333333333333;"top"
14;"top"
1,75;"top"
4,33333333333333;"top"
10;"top"
6,5;"top"
14;"top"
4,5;"top"
8;"top"
2,6;"top"
7;"top"
9,5;"top"
3,5;"top"
12;"top"
5;"top"
2,5;"top"
12;"top"
13;"top"
3;"top"
4;"top"
2,6;"top"
2,16666666666667;"top"
10;"top"
2,66666666666667;"top"
3,66666666666667;"top"
4;"top"
5;"top"
3;"top"
1,75;"top"
3,33333333333333;"top"
0,888888888888889;"top"
2,75;"top"
3,66666666666667;"top"
8;"top"
1,33333333333333;"top"
3;"top"
6;"top"
4,33333333333333;"top"
14;"top"
12;"top"
16;"top"
3,5;"top"
4,33333333333333;"top"
4;"top"
2;"top"
9;"top"
3,75;"top"
14;"top"
3,66666666666667;"top"
2,33333333333333;"top"
6;"top"
13;"top"
10;"top"
6;"top"
2,33333333333333;"top"
13;"top"
6,5;"top"
15;"top"
6;"top"
10;"top"
4,5;"top"
3;"top"
13;"top"
3;"top"
4;"top"
17;"top"
7;"top"
10;"top"
11;"top"
12;"top"
9;"top"
8;"top"
3;"top"
7;"top"
5;"top"
13;"top"
5;"top"
8;"top"
7;"top"
3;"top"
2,66666666666667;"top"
2;"top"
4,33333333333333;"top"
5;"top"
7;"top"
2;"top"
1,8;"top"
5;"top"
5;"top"
9;"top"
8;"top"
9;"top"
18;"top"
1,6;"top"
4,25;"top"
3,33333333333333;"top"
6,5;"top"
3,5;"top"
8;"top"
5;"top"
8,5;"top"
4,66666666666667;"top"
3,33333333333333;"top"
8;"top"
4,5;"top"
5;"top"
4;"top"
5;"top"
6;"top"
1;"top"
3,5;"top"
11;"top"
3;"top"
9;"top"
14;"top"
5;"top"
4;"top"
10;"top"
7;"top"
2;"top"
10;"top"
9;"top"
6;"top"
3,75;"top"
3;"top"
0,6;"top"
3,5;"top"
6;"top"
17;"top"
6;"top"
12;"top"
7;"top"
11;"top"
7;"top"
3,33333333333333;"top"
8;"top"
2,25;"top"
9;"top"
7;"top"
1,66666666666667;"top"
8;"top"
10;"top"
1,71428571428571;"top"
2,75;"top"
3,5;"top"
3,66666666666667;"top"
4;"top"
4,5;"top"
3,33333333333333;"top"
13;"top"
6;"top"
9;"top"
1,75;"top"
6,5;"top"
11;"top"
3,66666666666667;"top"
2,33333333333333;"top"
11;"top"
7;"top"
7;"top"
5,5;"top"
4,66666666666667;"top"
1,75;"top"
6,5;"top"
2,66666666666667;"top"
4;"top"
3;"top"
4,5;"top"
11;"top"
15;"top"
7;"top"
8;"top"
5;"top"
7;"top"
7,5;"top"
3;"top"
2;"top"
14;"top"
7;"top"
0;"top"
5,5;"top"
7;"top"
10;"top"
8;"top"
12;"top"
7;"top"
3;"top"
7;"top"
3;"top"
14;"top"
2;"top"
7;"top"
6;"top"
10;"top"
3,33333333333333;"top"
11;"top"
5,5;"top"
8;"top"
7;"top"
14;"top"
7;"top"
9;"top"
10;"top"
