"inhibs_rojo";"num_torres_rojo";"num_torres_azul";"DamageObjectives_rojo";"inhibs_azul";"DamageObjectives_azul";"kda_adc_rojo";"kda_jng_rojo";"kda_mid_azul";"kda_jng_azul";"kda_mid_rojo";"num_nashors_rojo";"kda_sup_azul";"kda_sup_rojo";"kda_adc_azul";"num_asesinatos_rojo";"kda_top_rojo";"kda_top_azul";"num_asesinatos_azul";"num_nashors_azul";"num_dragones_rojo";"num_dragones_azul";"double_k_rojo";"diff_oro_al_15";"diferencia_exp";"oro_al_15_rojo";"double_k_azul";"cura_rojo";"oro_al_15_azul";"cura_azul";"gana_azul"
3;11;0;3012,5;0;1134,375;7,5;10;1;1,6;7;1;1,25;7;2;24;2,66666666666667;1,6;11;0;3;2;1;-2600;-1816;25800;1;1195,9375;23200;978,5625;"no"
2;11;1;3246,42857142857;0;714,285714285714;7;5;2;3;6;1;1,5;5;1,5;9;8;0,666666666666667;3;0;4;1;1;-2500;1527;26200;0;780,25;23700;811,178571428571;"no"
1;7;7;1597,2972972973;2;2837,83783783784;5;3,66666666666667;8;8,5;3;0;3,2;4;3,75;17;2,8;3,5;18;2;2;3;0;-1900;-2507;24800;1;1500,10810810811;22900;1098,24324324324;"no"
2;10;3;2283,33333333333;0;1700;8;10;1;1;11;1;1;9;0;14;3;2;4;0;2;1;1;-346;-815;24100;0;775,208333333333;23800;610;"no"
1;9;1;2996,42857142857;0;821,428571428571;13;9;0,75;1,5;13;1;2;13;0,5;14;5;1;4;0;3;1;2;-1500;763;24400;0;959,75;22900;437,785714285714;"no"
1;7;2;3213,33333333333;0;1010;9;9;0,333333333333333;1;11;1;0,333333333333333;5;2;12;6;0,666666666666667;3;0;5;0;1;296;-1259;23900;0;834,266666666667;24200;686,3;"no"
2;10;2;2634,21052631579;0;1184,21052631579;4,5;16;1,4;1,14285714285714;22;1;2;2,33333333333333;2,6;25;21;3;13;0;4;1;2;-1900;66;26000;0;1283,78947368421;24000;612,526315789474;"no"
1;8;1;2346,66666666667;0;773,333333333333;8;17;1;1,2;18;1;1,2;17;1,5;20;5,33333333333333;2,5;8;0;3;1;1;328;-1198;24400;0;807,233333333333;24700;600,133333333333;"no"
1;5;6;1754,54545454545;1;2287,87878787879;11;10;1,5;1,66666666666667;11;1;2;11;0,5;13;3;0,5;5;0;2;2;2;2600;320;23900;0;1192,60606060606;26500;898,848484848485;"no"
3;10;1;2491,66666666667;0;1311,11111111111;16;4,5;2,5;1,25;6,5;1;1,6;3,25;4,5;19;14;0,333333333333333;9;0;4;2;0;-2500;-1708;25100;1;1478,47222222222;22600;772,305555555556;"no"
2;8;4;2966,66666666667;0;997,435897435897;3,25;3;2,75;1,28571428571429;9;2;2;7;3,5;20;7,5;1,5;13;0;5;1;2;1100;590;24600;1;1433,46153846154;25700;796,666666666667;"no"
3;11;2;2996,42857142857;0;632,142857142857;4,25;6,5;1;1,5;7;1;0,428571428571429;16;1,6;30;16;0,666666666666667;10;0;4;0;2;-426;-2109;25900;1;1149,21428571429;25500;512,571428571429;"no"
1;7;2;2541,93548387097;0;1070,96774193548;12;11;1;0,333333333333333;12;1;0,2;9;1;16;16;0;2;0;4;1;3;-2700;-2618;25400;0;1019,67741935484;22700;990,129032258065;"no"
1;9;3;2811,42857142857;0;717,142857142857;11;3,33333333333333;0,8;2,5;11;2;1,5;4,5;1;16;7;1,25;6;0;4;1;2;-3900;-1105;26400;2;752,457142857143;22300;772,085714285714;"no"
2;10;5;2911,42857142857;0;1308,57142857143;9;10;0;1;14;2;0,2;16;0;16;11;0,666666666666667;2;0;4;1;3;1600;487;23000;0;1232,8;24600;602,828571428571;"no"
1;8;3;2258,82352941176;0;1217,64705882353;4,33333333333333;12;1,16666666666667;1,75;4,66666666666667;1;3;2,25;2,33333333333333;20;14;2;12;0;4;1;0;2400;1338;22600;2;1654,97058823529;25000;598;"no"
1;7;3;2737,14285714286;0;1885,71428571429;11;6,5;2;1,5;2;1;3,5;4;1,66666666666667;16;4,33333333333333;1,33333333333333;11;1;4;1;1;-5500;-3144;28800;0;753,742857142857;23300;1474,97142857143;"no"
1;7;3;1837,93103448276;0;2031,03448275862;1,66666666666667;9;1,5;4;5;1;2;1,5;2;11;10;0,5;7;0;2;3;1;980;239;25500;1;590,379310344828;26500;668,068965517241;"no"
2;10;3;2239,39393939394;0;1281,81818181818;2,33333333333333;3;1,2;2;10;1;5;7;1;12;9;4;7;0;2;3;0;-441;1464;24600;0;918,848484848485;24200;1181,78787878788;"no"
3;11;3;2584,61538461538;0;1220,51282051282;4,5;3;4;1,66666666666667;6;1;2;4;1;13;10;1;7;0;4;2;1;-4500;-2733;27700;1;1069,30769230769;23200;952,769230769231;"no"
2;9;2;3357,14285714286;0;810,714285714286;15;8;1;1;7,5;1;0,8;4,5;1,5;22;16;0,4;6;0;4;0;2;-3200;-1094;27200;0;1022,25;24000;604,285714285714;"no"
3;11;4;2400;0;1084,84848484848;5,33333333333333;14;1,5;1;8,5;1;0,5;14;1;25;5,5;0,142857142857143;8;0;4;0;0;-339;-318;25300;1;1130,78787878788;25000;828,666666666667;"no"
1;9;2;3258,06451612903;0;593,548387096774;7,5;5,5;1;2,33333333333333;5,5;1;0,777777777777778;4,33333333333333;1,66666666666667;22;12;1,33333333333333;10;0;4;0;1;-1900;-1515;25600;0;773,354838709677;23700;951,290322580645;"no"
1;9;4;2703,33333333333;0;1966,66666666667;12;6,5;1;1;15;1;0,666666666666667;13;0,25;19;11;0,4;4;0;2;3;4;50;-1734;24500;1;977,033333333333;24500;558,6;"no"
1;9;3;2558,62068965517;0;910,344827586207;11;5,33333333333333;1,16666666666667;1;22;1;1,4;5,33333333333333;1,5;28;5,66666666666667;0,5;11;0;3;1;1;-1300;-1693;28200;1;1393,65517241379;26900;748,413793103448;"no"
1;9;3;2112,12121212121;0;1596,9696969697;14;5;4;1,33333333333333;10;1;1;11;0,333333333333333;15;3,33333333333333;1;5;0;2;3;1;499;914;24800;1;1219,60606060606;25300;427,787878787879;"no"
2;10;3;3008,33333333333;0;1277,77777777778;9;12;2;1,5;10;2;0,285714285714286;7;3;17;5;3;6;0;5;1;2;2000;-691;24500;0;1024,25;26500;1309,83333333333;"no"
